Наименование;Цена;Размеры;Ссылка;Описание;Фото
Модель ПБ-0012;1300 р.;54-64;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-pb-0012;Элегантное платье полуприлегающего силуэта. Выполнено из фактурного трикотажа благородного зелёного цвета. Рукава платья цельнокроенные на манжете. По спинке платья средний шов со шлицей. Длина рукава с плечом 49см. Длина изделия по спинке: размер 52,54 - 103см., размер 56,58 - 104см.,  размер 60,62,64,66 - 107см.;
Модель ПБ-0011;1300 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-pb-0011;Женское платье полуприлегающего силуэта, принт бирюзовые цветы на синем. Спинка платья приталена таливыми вытачками, по среднему шву шлица. По вырезу горловины заложены мягкие встречные складочки. Рукав втачной. Длина рукава 45 см. Длина изделия по спинке: размер 52,54 - 102см., размер 56,58 - 104см., размер 60,62 - 105см., размер 64,66 - 106см.;
Модель ПБ-0010;1300 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-pb-0010;Женское платье полуприлегающего силуэта, купон принт синие цветы на белом. Спинка платья приталена таливыми вытачками, по среднему шву шлица. По вырезу горловины заложены мягкие встречные складочки. Рукав втачной. Длина рукава 45 см. Длина изделия по спинке : размер 52,54 - 102см., размер 56,58 - 104см., размер 60,62 - 105см., размер 64,66 - 106см.;
Модель РБ-00111;800 р.;52-66;http://krassa-nsk.ru/bluzki-rubashki-bolshih-razmerov/zhenskaya-bluzka-мodel-rb-00111;"Блузка из принтованного трикотажа ""Венеция лакар"". Рукав реглан, заканчивается манжетом. По переду женственный воротничок и маленькая капля с застежкой на воздушную петлю и пуговицу. Блуза по низу посажена на ножку, для лучшего прилегания. Длина рукава с плечом 58см., длина блузы 63см.";
МОДЕЛЬ ББ-00111;950 р.;52-66;http://krassa-nsk.ru/brjuki-bolshih-razmerov/zhenskie-brjuki-bolshie-razmeri-мodel-bb-00111;Брюки женские из костюмной ткани глубокого синего цвета. На передних половинках брюк рельеф, который отделан декоративной строчкой. На левой передней половинке имитация кармана с прорезной листочкой. На задних половиннах брюк кокетка, отделанная декоративной строчкой. Брюки на резине, что позволяет сделать наибольшее прилегание по линии талии. Длина брюк по спинке 111см.;
МОДЕЛЬ ББ-00110;950 р.;52-66;http://krassa-nsk.ru/brjuki-bolshih-razmerov/zhenskie-brjuki-bolshie-razmeri-мodel-bb-00110;Брюки женские из костюмной ткани черного цвета. На передних половинках брюк рельеф, который отделан декоративной строчкой. На левой передней половинке имитация кармана с прорезной листочкой. На задних половиннах брюк кокетка, отделанная декоративной строчкой. Брюки на резине, что позволяет сделать наибольшее прилегание по линии талии. Длина брюк по спинке 111см.;
Модель Б-0091;900 р.;52-66;http://krassa-nsk.ru/index.php?route=product/product&path=66&product_id=168;Брюки женские из тонкой костюмной ткани цвета пыльной розы. На передних половинках брюк рельеф, который  отделан декоративной двойной строчкой. Спереди удобные и практичные карманы. На задних половинках брюк  кокетка, которая отделана двойной декоративной строчкой. Брюки к низу чуть заужены. Брюки на резине, что позволяет наиболее хорошую посадку на фигуре. Длина брюк по спинке 111см. ;
Модель Б-0090;900 р.;52-66;http://krassa-nsk.ru/index.php?route=product/product&path=66&product_id=167;Брюки женские из тонкой костюмной ткани светло серого цвета. На передних половинках брюк рельеф, который  отделан декоративной двойной строчкой. Спереди удобные и практичные карманы. На задних половинках брюк  кокетка, которая отделана двойной декоративной строчкой. Брюки к низу чуть заужены. Брюки на резине, что позволяет наиболее хорошую посадку на фигуре. Длина брюк по спинке 111см. ;
МОДЕЛЬ Б-0066;950 р.;46-56;http://krassa-nsk.ru/index.php?route=product/product&path=66&product_id=147;Женские брюки, слегка зауженные к низу от линии бедра, Выполнены из костюмной ткани глубокого синего цвета. Брюки выполнены на кокетке, спереди застежка на петлю и пуговицу. Гульфик обработан брючным замком. Внизу по боковым швам сделаны небольшие разрезы. Длина брюк - 106 см.;
МОДЕЛЬ Б-0065;950 р.;46-56;http://krassa-nsk.ru/index.php?route=product/product&path=66&product_id=146;Женские брюки, слегка зауженные к низу от линии бедра, Выполнены из костюмной ткани черного цвета. Брюки выполнены на кокетке, спереди застежка на петлю и пуговицу. Гульфик обработан брючным замком. Внизу по боковым швам сделаны небольшие разрезы. Длина брюк - 106 см.;
